Latitude (decimal degrees):	48.779
Longitude (decimal degrees):	2.288
Elevation (m):	102
Radiation database:	PVGIS-SARAH


Slope: 38 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20060101:0010,0.0,0.0,3.83,6.21,0.0
20060101:0110,0.0,0.0,3.44,6.3,0.0
20060101:0210,0.0,0.0,3.05,6.39,0.0
20060101:0310,0.0,0.0,2.66,6.48,0.0
20060101:0410,0.0,0.0,2.61,6.64,0.0
20060101:0510,0.0,0.0,2.56,6.8,0.0
20060101:0610,0.0,0.0,2.52,6.95,0.0
20060101:0710,0.0,0.0,2.94,6.83,0.0
20060101:0810,33.49,2.66,3.37,6.7,0.0
20060101:0910,80.3,9.48,3.8,6.58,0.0
20060101:1010,675.48,14.58,4.68,5.98,0.0
20060101:1110,26.51,17.56,5.56,5.37,0.0
20060101:1210,514.86,18.12,6.45,4.77,0.0
20060101:1310,104.06,16.2,6.42,4.88,0.0
20060101:1410,14.63,12.01,6.4,4.99,0.0
20060101:1510,174.34,5.9,6.38,5.1,0.0
20060101:1610,0.0,0.0,6.12,4.95,0.0
20060101:1710,0.0,0.0,5.88,4.8,0.0
20060101:1810,0.0,0.0,5.62,4.65,0.0
20060101:1910,0.0,0.0,5.42,4.69,0.0
20060101:2010,0.0,0.0,5.22,4.73,0.0
20060101:2110,0.0,0.0,5.02,4.77,0.0
20060101:2210,0.0,0.0,4.9,4.74,0.0
20060101:2310,0.0,0.0,4.78,4.7,0.0
20060102:0010,0.0,0.0,4.66,4.66,0.0
20060102:0110,0.0,0.0,4.41,4.8,0.0
20060102:0210,0.0,0.0,4.16,4.93,0.0
20060102:0310,0.0,0.0,3.91,5.06,0.0
20060102:0410,0.0,0.0,3.66,4.9,0.0
20060102:0510,0.0,0.0,3.41,4.74,0.0
20060102:0610,0.0,0.0,3.16,4.58,0.0
20060102:0710,0.0,0.0,3.0,4.4,0.0
20060102:0810,30.52,2.68,2.84,4.21,0.0
20060102:0910,341.63,9.51,2.67,4.03,0.0
20060102:1010,614.21,14.64,3.51,4.06,0.0
20060102:1110,710.43,17.63,4.35,4.09,0.0
20060102:1210,751.49,18.21,5.19,4.12,0.0
20060102:1310,653.93,16.31,5.33,3.92,0.0
20060102:1410,344.95,12.12,5.48,3.71,0.0
20060102:1510,151.53,6.03,5.62,3.5,0.0
20060102:1610,0.0,0.0,4.61,2.98,0.0
20060102:1710,0.0,0.0,3.6,2.46,0.0
20060102:1810,0.0,0.0,2.59,1.94,0.0
20060102:1910,0.0,0.0,2.16,1.85,0.0
20060102:2010,0.0,0.0,1.74,1.75,0.0
20060102:2110,0.0,0.0,1.32,1.66,0.0
20060102:2210,0.0,0.0,1.15,1.71,0.0
20060102:2310,0.0,0.0,0.99,1.77,0.0
20060103:0010,0.0,0.0,0.83,1.83,0.0
20060103:0110,0.0,0.0,1.16,1.73,0.0
20060103:0210,0.0,0.0,1.48,1.62,0.0
20060103:0310,0.0,0.0,1.81,1.52,0.0
20060103:0410,0.0,0.0,1.75,1.61,0.0
20060103:0510,0.0,0.0,1.69,1.7,0.0
20060103:0610,0.0,0.0,1.63,1.79,0.0
20060103:0710,0.0,0.0,1.87,1.93,0.0
20060103:0810,46.48,2.7,2.11,2.06,0.0
20060103:0910,68.8,9.55,2.35,2.19,0.0
20060103:1010,29.25,14.69,3.2,2.14,0.0
20060103:1110,344.1,17.71,4.06,2.08,0.0
20060103:1210,132.5,18.31,4.92,2.03,0.0
20060103:1310,233.14,16.42,5.18,1.76,0.0
20060103:1410,340.12,12.25,5.44,1.49,0.0
20060103:1510,33.73,6.16,5.7,1.21,0.0
20060103:1610,0.0,0.0,4.93,1.1,0.0
20060103:1710,0.0,0.0,4.15,0.99,0.0
20060103:1810,0.0,0.0,3.38,0.88,0.0
20060103:1910,0.0,0.0,2.86,1.05,0.0
20060103:2010,0.0,0.0,2.35,1.22,0.0
